"Compound.Name","Column","z","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Compound.Type","Compound.Name_old","Compound.Name_figure","Emperical.Formula","RT..min.","m.z","ionization_form","C0","CHEBI","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","KEGGNAME","Compound.Name_SQL","ChEBI_Names","CID","MolecularFormula","InChIKey","CanonicalSMILES","IUPACName","Classyfire"
"Inosine","HILIC",-1,NA,NA,NA,NA,NA,NA,"New3","Inosine","Inosine","C10H12N4O5",7.57,267.072946,"[M-H]","cpd:C00294","ChEBI:17596","HILICNeg",NA,4,"Mix2",180701,"Inosine","Inosine","ChEBI:17596",135398641,"C10H12N4O5","UGQMRVRMYYASKQ-KQYNXXCUSA-N","C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_nucleosides; level 5: Purine_nucleosides; level 6: Purine_nucleosides; level 7: Purine_nucleosides; level 8: Purine_nucleosides"
"Inosine","RP",1,NA,NA,NA,NA,NA,NA,"New3","Inosine","Inosine","C10H12N4O5",1.01,269.088596,"[M+H]","cpd:C00294","ChEBI:17596","CyanoAq","CyanoDCM",NA,NA,180701,"Inosine","Inosine","ChEBI:17596",135398641,"C10H12N4O5","UGQMRVRMYYASKQ-KQYNXXCUSA-N","C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_nucleosides; level 5: Purine_nucleosides; level 6: Purine_nucleosides; level 7: Purine_nucleosides; level 8: Purine_nucleosides"
"Hordenine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Hordenine","Hordenine","C10H15NO",3.34,166.123189,"[M+H]","cpd:C06199","ChEBI:5764","HILICPos",NA,4,"Mix2",180701,"Hordenine; 4-[2-(Dimethylamino)ethyl]phenol","Hordenine","ChEBI:5764",68313,"C10H15NO","KUBCEEMXQZUPDQ-UHFFFAOYSA-N","CN(C)CCC1=CC=C(C=C1)O","4-[2-(dimethylamino)ethyl]phenol","kingdom: Organic_compounds; superclass: Benzenoids; class: Benzene_and_substituted_derivatives; subclass: Phenethylamines; level 5: Phenethylamines; level 6: Phenethylamines; level 7: Phenethylamines; level 8: Phenethylamines"
"Hordenine","RP",1,NA,NA,NA,NA,NA,NA,"New3","Hordenine","Hordenine","C10H15NO",1.29,166.123189,"[M+H]","cpd:C06199","ChEBI:5764","CyanoAq","CyanoDCM",NA,NA,180701,"Hordenine; 4-[2-(Dimethylamino)ethyl]phenol","Hordenine","ChEBI:5764",68313,"C10H15NO","KUBCEEMXQZUPDQ-UHFFFAOYSA-N","CN(C)CCC1=CC=C(C=C1)O","4-[2-(dimethylamino)ethyl]phenol","kingdom: Organic_compounds; superclass: Benzenoids; class: Benzene_and_substituted_derivatives; subclass: Phenethylamines; level 5: Phenethylamines; level 6: Phenethylamines; level 7: Phenethylamines; level 8: Phenethylamines"
"Allopurinol","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Allopurinol","Allopurinol","C5H4N4O",4.16,137.046336,"[M+H]",NA,"ChEBI:40279","HILICPos",NA,4,"Mix2",180701,NA,"Allopurinol",NA,135401907,"C5H4N4O","OFCNXPDARWKPPY-UHFFFAOYSA-N","C1=NNC2=C1C(=O)NC=N2","1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[34-d]pyrimidines; level 5: Pyrazolo[34-d]pyrimidines; level 6: Pyrazolo[34-d]pyrimidines; level 7: Pyrazolo[34-d]pyrimidines; level 8: Pyrazolo[34-d]pyrimidines"
"Allopurinol","HILIC",-1,NA,NA,NA,NA,NA,NA,"New3","Allopurinol","Allopurinol","C5H4N4O",4.16,135.030686,"[M-H]",NA,"ChEBI:40279","HILICNeg",NA,4,"Mix2",180701,NA,"Allopurinol",NA,135401907,"C5H4N4O","OFCNXPDARWKPPY-UHFFFAOYSA-N","C1=NNC2=C1C(=O)NC=N2","1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[34-d]pyrimidines; level 5: Pyrazolo[34-d]pyrimidines; level 6: Pyrazolo[34-d]pyrimidines; level 7: Pyrazolo[34-d]pyrimidines; level 8: Pyrazolo[34-d]pyrimidines"
"Allopurinol","RP",1,NA,NA,NA,NA,NA,NA,"New3","Allopurinol","Allopurinol","C5H4N4O",1.27,137.046336,"[M+H]",NA,"ChEBI:40279","CyanoAq","CyanoDCM",0.25,NA,180701,NA,"Allopurinol",NA,135401907,"C5H4N4O","OFCNXPDARWKPPY-UHFFFAOYSA-N","C1=NNC2=C1C(=O)NC=N2","1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[34-d]pyrimidines; level 5: Pyrazolo[34-d]pyrimidines; level 6: Pyrazolo[34-d]pyrimidines; level 7: Pyrazolo[34-d]pyrimidines; level 8: Pyrazolo[34-d]pyrimidines"
"Urocanic acid","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Imidazoleacrylic Acid","Imidazoleacrylic Acid","C6H6N2O2",8.16,139.050753,"[M+H]","cpd:C00785","ChEBI:27248","HILICPos",NA,4,"Mix2",180701,"Urocanate; Urocanic acid","Urocanic acid","ChEBI:27247",736715,"C6H6N2O2","LOIYMIARKYCTBW-OWOJBTEDSA-N","C1=C(NC=N1)C=CC(=O)O","(E)-3-(1H-imidazol-5-yl)prop-2-enoic acid","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Azoles; subclass: Imidazoles; level 5: Substituted_imidazoles; level 6: Imidazolyl_carboxylic_acids_and_derivatives; level 7: Imidazolyl_carboxylic_acids_and_derivatives; level 8: Imidazolyl_carboxylic_acids_and_derivatives"
"Urocanic acid","HILIC",-1,NA,NA,NA,NA,NA,NA,"New3","Imidazoleacrylic Acid","Imidazoleacrylic Acid","C6H6N2O2",8.16,137.035103,"[M-H]","cpd:C00785","ChEBI:27248","HILICNeg",NA,4,"Mix2",180701,"Urocanate; Urocanic acid","Urocanic acid","ChEBI:27247",736715,"C6H6N2O2","LOIYMIARKYCTBW-OWOJBTEDSA-N","C1=C(NC=N1)C=CC(=O)O","(E)-3-(1H-imidazol-5-yl)prop-2-enoic acid","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Azoles; subclass: Imidazoles; level 5: Substituted_imidazoles; level 6: Imidazolyl_carboxylic_acids_and_derivatives; level 7: Imidazolyl_carboxylic_acids_and_derivatives; level 8: Imidazolyl_carboxylic_acids_and_derivatives"
"Hydroxyisoleucine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","4-Hydroxyisoleucine","4-Hydroxyisoleucine","C6H13NO3",8.34,148.097369,"[M+H]","cpd:C20802","ChEBI:79079","HILICPos",NA,4,"Mix2",180701,"(4S)-4-Hydroxy-L-isoleucine; Hydroxyisoleucine","Hydroxyisoleucine",NA,NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Isoleucine_and_derivatives; level 8: Isoleucine_and_derivatives"
"Hydroxyisoleucine","HILIC",-1,NA,NA,NA,NA,NA,NA,"New3","4-Hydroxyisoleucine","4-Hydroxyisoleucine","C6H13NO3",8.34,146.081719,"[M-H]","cpd:C20802","ChEBI:79079","HILICNeg",NA,4,"Mix2",180701,"(4S)-4-Hydroxy-L-isoleucine; Hydroxyisoleucine","Hydroxyisoleucine",NA,NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Isoleucine_and_derivatives; level 8: Isoleucine_and_derivatives"
"Deoxyadenosine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Deoxyadenosine","Deoxyadenosine","C10H13N5O3",3.44,252.109665,"[M+H]","cpd:C00559","ChEBI:17256","HILICPos",NA,4,"Mix2",180701,"Deoxyadenosine; 2'-Deoxyadenosine","Deoxyadenosine","ChEBI:17256",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_2-deoxyribonucleosides; level 5: Purine_2-deoxyribonucleosides; level 6: Purine_2-deoxyribonucleosides; level 7: Purine_2-deoxyribonucleosides; level 8: Purine_2-deoxyribonucleosides"
"Deoxyadenosine","RP",1,NA,NA,NA,NA,NA,NA,"New3","Deoxyadenosine","Deoxyadenosine","C10H13N5O3",1.14,252.109665,"[M+H]","cpd:C00559","ChEBI:17256","CyanoAq","CyanoDCM",NA,NA,180701,"Deoxyadenosine; 2'-Deoxyadenosine","Deoxyadenosine","ChEBI:17256",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_2-deoxyribonucleosides; level 5: Purine_2-deoxyribonucleosides; level 6: Purine_2-deoxyribonucleosides; level 7: Purine_2-deoxyribonucleosides; level 8: Purine_2-deoxyribonucleosides"
"beta-Alanine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","beta-Alanine","b-Alanine","C3H7NO2",11.39,90.055504,"[M+H]","cpd:C00099","ChEBI:16958","HILICPos",NA,4,"Mix2",180701,"beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate","b Alanine","ChEBI:16958",239,"C3H7NO2","UCMIRNVEIXFBKS-UHFFFAOYSA-N","C(CN)C(=O)O","3-aminopropanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Beta_amino_acids_and_derivatives; level 7: Beta_amino_acids_and_derivatives; level 8: Beta_amino_acids_and_derivatives"
"Melamine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Melamine","Melamine","C3H6N6",6.68,127.073219,"[M+H]","cpd:C08737","ChEBI:27915","HILICPos",NA,4,"Mix2",180701,"Melamine; 2,4,6-Triamino-1,3,5-triazine","Melamine","ChEBI:27915",7955,"C3H6N6","JDSHMPZPIAZGSV-UHFFFAOYSA-N","C1(=NC(=NC(=N1)N)N)N","1,3,5-triazine-2,4,6-triamine","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Triazines; subclass: 135-triazines; level 5: 135-triazines; level 6: 135-triazines; level 7: 135-triazines; level 8: 135-triazines"
"Maltose","HILIC",-1,NA,NA,NA,NA,NA,NA,"New3","Maltose","Maltose","C12H22O11",12.31,341.10839,"[M-H]","cpd:C00208","ChEBI:17306","HILICNeg",NA,4,"Mix2",180701,"Maltose; Malt sugar; alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose","Maltose","ChEBI:17306",439341,"C12H22O11","GUBGYTABKSRVRQ-ASMJPISFSA-N","C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O","(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol","kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Glycosyl_compounds; level 6: O-glycosyl_compounds; level 7: O-glycosyl_compounds; level 8: O-glycosyl_compounds"
"Lactose","HILIC",-1,NA,NA,NA,NA,NA,NA,"New3","Lactose","Lactose","C12H22O11",12.53,341.10839,"[M-H]","cpd:C00243","ChEBI:17716","HILICNeg",NA,4,"Mix2",180701,"Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar","Lactose","ChEBI:17716",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Glycosyl_compounds; level 6: O-glycosyl_compounds; level 7: O-glycosyl_compounds; level 8: O-glycosyl_compounds"
"Lactose","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Lactose","Lactose","C12H22O11",12.53,343.12404,"[M+H]","cpd:C00243","ChEBI:17716","HILICPos",NA,4,"Mix2",180701,"Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar","Lactose","ChEBI:17716",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Glycosyl_compounds; level 6: O-glycosyl_compounds; level 7: O-glycosyl_compounds; level 8: O-glycosyl_compounds"
"Acetylcholine","HILIC",1,NA,NA,NA,NA,NA,NA,"New4","Acetylcholine","Acetylcholine","C7H16NO2",13.37,146.118104,"[M]","cpd:C01996","ChEBI:15355","HILICPos",NA,4,"Mix2",190514,"Acetylcholine; O-Acetylcholine","Acetylcholine","ChEBI:15355",187,"C7H16NO2+","OIPILFWXSMYKGL-UHFFFAOYSA-N","CC(=O)OCC[N+](C)(C)C","2-acetyloxyethyl(trimethyl)azanium","kingdom: Organic_compounds; superclass: Organic_nitrogen_compounds; class: Organonitrogen_compounds; subclass: Quaternary_ammonium_salts; level 5: Cholines; level 6: Acyl_cholines; level 7: Acyl_cholines; level 8: Acyl_cholines"
"L-Cysteinesulfinic acid","HILIC",1,NA,NA,NA,NA,NA,NA,"New4","Cysteinesulfinic acid","CSA","C3H7NO4S",10.74,154.017406,"[M+H]","cpd:C00606","ChEBI:16345","HILICPos",NA,5,"Mix2",190514,"3-Sulfino-L-alanine; L-Cysteinesulfinic acid; 3-Sulphino-L-alanine; 3-Sulfinoalanine","CSA","ChEBI:16345",1549098,"C3H7NO4S","ADVPTQAUNPRNPO-REOHCLBHSA-N","C(C(C(=O)O)N)S(=O)O","(2R)-2-amino-3-sulfinopropanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"L-Cysteinesulfinic acid","HILIC",-1,NA,NA,NA,NA,NA,NA,"New4","Cysteinesulfinic acid","CSA","C3H7NO4S",10.74,152.001756,"[M-H]","cpd:C00606","ChEBI:16345","HILICNeg",NA,5,"Mix2",190514,"3-Sulfino-L-alanine; L-Cysteinesulfinic acid; 3-Sulphino-L-alanine; 3-Sulfinoalanine","CSA","ChEBI:16345",1549098,"C3H7NO4S","ADVPTQAUNPRNPO-REOHCLBHSA-N","C(C(C(=O)O)N)S(=O)O","(2R)-2-amino-3-sulfinopropanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"beta-Alaninebetaine","HILIC",1,NA,NA,NA,NA,NA,NA,"New4","Trimethylammonium Propionate (TMAP)","TMAP","C6H13NO2",9.38,132.1018,"[M+H]","cpd:C08263","ChEBI:28825","HILICPos",NA,4,"Mix2",190514,"beta-Alaninebetaine; beta-Alanine betaine; Propiobetaine; Trimethylalanine","TMAP","ChEBI:28825",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_nitrogen_compounds; class: Organonitrogen_compounds; subclass: Quaternary_ammonium_salts; level 5: Tetraalkylammonium_salts; level 6: Tetraalkylammonium_salts; level 7: Tetraalkylammonium_salts; level 8: Tetraalkylammonium_salts"
"5-Methylcytosine","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","5-Methylcytosine","5-Methylcytosine","C5H7N3O",5.53,126.066737,"[M+H]","cpd:C02376","ChEBI:27551","HILICPos",NA,4,"Mix2",190514,"5-Methylcytosine","Methylcytosine","ChEBI:27551",65040,"C5H7N3O","LRSASMSXMSNRBT-UHFFFAOYSA-N","CC1=C(NC(=O)N=C1)N","6-amino-5-methyl-1H-pyrimidin-2-one","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Diazines; subclass: Pyrimidines_and_pyrimidine_derivatives; level 5: Hydroxypyrimidines; level 6: Hydroxypyrimidines; level 7: Hydroxypyrimidines; level 8: Hydroxypyrimidines"
"N6-Methyladenine","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","6-Methyladenine","N6-Methyladenine","C6H7N5",3.97,150.07797,"[M+H]","cpd:C08434","ChEBI:28871","HILICPos",NA,4,"Mix2",190514,"6-Methylaminopurine; N6-Methyladenine","N6 Methyladenine","ChEBI:28871",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Imidazopyrimidines; subclass: Purines_and_purine_derivatives; level 5: 6-aminopurines; level 6: 6-alkylaminopurines; level 7: 6-alkylaminopurines; level 8: 6-alkylaminopurines"
"Carnosine","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","Carnosine","Carnosine","C9H14N4O3",10.47,227.114416,"[M+H]","cpd:C00386","ChEBI:15727","HILICPos",NA,4,"Mix2",190514,"Carnosine; Nalpha-(beta-alanyl)-L-histidine","Carnosine","ChEBI:15727",439224,"C9H14N4O3","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN","(2S)-2-(3-aminopropanoylamino)-3-(1H-imidazol-5-yl)propanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Peptidomimetics; subclass: Hybrid_peptides; level 5: Hybrid_peptides; level 6: Hybrid_peptides; level 7: Hybrid_peptides; level 8: Hybrid_peptides"
"Carnosine","HILIC",-1,NA,NA,NA,NA,NA,NA,"New5","Carnosine","Carnosine","C9H14N4O3",10.47,225.098766,"[M-H]","cpd:C00386","ChEBI:15727","HILICNeg",NA,4,"Mix2",190514,"Carnosine; Nalpha-(beta-alanyl)-L-histidine","Carnosine","ChEBI:15727",439224,"C9H14N4O3","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN","(2S)-2-(3-aminopropanoylamino)-3-(1H-imidazol-5-yl)propanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Peptidomimetics; subclass: Hybrid_peptides; level 5: Hybrid_peptides; level 6: Hybrid_peptides; level 7: Hybrid_peptides; level 8: Hybrid_peptides"
"N-Acetyl-D-glucosamine","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","N-Acetylglucosamine","N-Acetylglucosamine","C8H15NO6",8.55,222.097764,"[M+H]","cpd:C00140","ChEBI:506227","HILICPos",NA,6,"Mix2",190514,"N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc","N Acetylglucosamine","ChEBI:506227",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Aminosaccharides; level 6: Amino_sugars; level 7: Acylaminosugars; level 8: Acylaminosugars"
"N6,N6,N6-Trimethyl-L-lysine","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","Trimethyl-L-lysine","lysine","C9H20N2O2",17.14,189.160303,"[M+H]","cpd:C03793","ChEBI:58100","HILICPos",NA,4,"Mix2",190514,"N6,N6,N6-Trimethyl-L-lysine","lysine","ChEBI:165870",440120,"C9H20N2O2","MXNRLFUSFKVQSK-QMMMGPOBSA-N","C[N+](C)(C)CCCCC(C(=O)[O-])N","(2S)-2-amino-6-(trimethylazaniumyl)hexanoate",NA
"beta-Glutamic acid","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","beta-Glutamic acid","b-Glutamic acid","C5H9NO4",11.9,148.060984,"[M+H]",NA,NA,"HILICPos",NA,4,"Mix2",190514,NA,"b Glutamic acid",NA,NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acids_and_conjugates; level 5: Amino_fatty_acids; level 6: Amino_fatty_acids; level 7: Amino_fatty_acids; level 8: Amino_fatty_acids"
"Anserine","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","Anserine","Anserine","C10H16N4O3",8.55,241.130066,"[M+H]","cpd:C01262","ChEBI:18323","HILICPos",NA,4,"Mix2",190514,"beta-Alanyl-N(pi)-methyl-L-histidine; Anserine","Anserine","ChEBI:18323",112072,"C10H16N4O3","MYYIAHXIVFADCU-QMMMGPOBSA-N","CN1C=NC=C1CC(C(=O)O)NC(=O)CCN","(2S)-2-(3-aminopropanoylamino)-3-(3-methylimidazol-4-yl)propanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Peptidomimetics; subclass: Hybrid_peptides; level 5: Hybrid_peptides; level 6: Hybrid_peptides; level 7: Hybrid_peptides; level 8: Hybrid_peptides"
"Anserine","HILIC",-1,NA,NA,NA,NA,NA,NA,"New5","Anserine","Anserine","C10H16N4O3",8.55,239.114416,"[M-H]","cpd:C01262","ChEBI:18323","HILICNeg",NA,4,"Mix2",190514,"beta-Alanyl-N(pi)-methyl-L-histidine; Anserine","Anserine","ChEBI:18323",112072,"C10H16N4O3","MYYIAHXIVFADCU-QMMMGPOBSA-N","CN1C=NC=C1CC(C(=O)O)NC(=O)CCN","(2S)-2-(3-aminopropanoylamino)-3-(3-methylimidazol-4-yl)propanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Peptidomimetics; subclass: Hybrid_peptides; level 5: Hybrid_peptides; level 6: Hybrid_peptides; level 7: Hybrid_peptides; level 8: Hybrid_peptides"
"N-Acetylmuramic acid","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","N-Acetylmuramic acid","MurNAc","C11H19NO8",3.35,294.118894,"[M+H]","cpd:C02713","ChEBI:21615","HILICPos",NA,5,"Mix2",190514,"N-Acetylmuramate; N-Acetylmuramic acid; N-Acetyl-D-muramoate","MurNAc","ChEBI:21615",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Aminosaccharides; level 6: Amino_sugars; level 7: Acylaminosugars; level 8: Acylaminosugars"
"N-Acetylmuramic acid","HILIC",-1,NA,NA,NA,NA,NA,NA,"New5","N-Acetylmuramic acid","MurNAc","C11H19NO8",3.35,292.103244,"[M-H]","cpd:C02713","ChEBI:21615","HILICNeg",NA,5,"Mix2",190514,"N-Acetylmuramate; N-Acetylmuramic acid; N-Acetyl-D-muramoate","MurNAc","ChEBI:21615",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Aminosaccharides; level 6: Amino_sugars; level 7: Acylaminosugars; level 8: Acylaminosugars"
"Hypoxanthine","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","Hypoxanthine","Hypoxanthine","C5H4N4O",5.51,137.046336,"[M+H]","cpd:C00262","ChEBI:17368","HILICPos",NA,4,"Mix2",190514,"Hypoxanthine; Purine-6-ol","Hypoxanthine","ChEBI:17368",135398638,"C5H4N4O","FDGQSTZJBFJUBT-UHFFFAOYSA-N","C1=NC2=C(N1)C(=O)NC=N2","1,7-dihydropurin-6-one","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Imidazopyrimidines; subclass: Purines_and_purine_derivatives; level 5: Purinones; level 6: Hypoxanthines; level 7: Hypoxanthines; level 8: Hypoxanthines"
"Hypoxanthine","HILIC",-1,NA,NA,NA,NA,NA,NA,"New5","Hypoxanthine","Hypoxanthine","C5H4N4O",5.51,135.030686,"[M-H]","cpd:C00262","ChEBI:17368","HILICNeg",NA,4,"Mix2",190514,"Hypoxanthine; Purine-6-ol","Hypoxanthine","ChEBI:17368",135398638,"C5H4N4O","FDGQSTZJBFJUBT-UHFFFAOYSA-N","C1=NC2=C(N1)C(=O)NC=N2","1,7-dihydropurin-6-one","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Imidazopyrimidines; subclass: Purines_and_purine_derivatives; level 5: Purinones; level 6: Hypoxanthines; level 7: Hypoxanthines; level 8: Hypoxanthines"
"Glycine betaine, 13C5, 15N","HILIC",1,NA,NA,NA,NA,NA,NA,"Internal Standard","Betaine, 13C5-15N","Betaine, 13C5-15N","C(13)5H11N(15)O2",7.27,124.1006,"[M+H]",NA,NA,"HILICPos",NA,1,NA,190514,NA,"Betaine 13C5 15N",NA,NA,NA,NA,NA,NA,NA
"Adenine, 15N2","HILIC",1,NA,NA,NA,NA,NA,NA,"Internal Standard","Adenine, 15N2","Adenine, 15N2","C5H5N(15)2N3",4.64,138.0564,"[M+H]",NA,NA,"HILICPos",NA,1,NA,190514,NA,"Adenine 15N2",NA,NA,NA,NA,NA,NA,NA
"Cytosine, 13C2, 15N3","HILIC",1,NA,NA,NA,NA,NA,NA,"Internal Standard","Cytosine, 13C2-15N3","Cytosine, 13C2-15N3","C(13)2C2H5N(15)3O",6.82,117.0489,"[M+H]",NA,NA,"HILICPos",NA,2,NA,190514,NA,"Cytosine 13C2 15N3",NA,NA,NA,NA,NA,NA,NA
"Guanine, 13C, 15N2","HILIC",1,NA,NA,NA,NA,NA,NA,"Internal Standard","Guanine, 13C-15N2","Guanine, 13C-15N2","C(13)C4H5N(15)2N3O",8.18,155.0547,"[M+H]",NA,NA,"HILICPos",NA,2,NA,190514,NA,"Guanine 13C 15N2",NA,NA,NA,NA,NA,NA,NA
"Thymine, 2H4","HILIC",-1,NA,NA,NA,NA,NA,NA,"Internal Standard","Thymine, D4","Thymine, 2H4","C5D4H2N2O2",3.06,129.0602,"[M-H]",NA,NA,"HILICNeg",NA,6,NA,190514,NA,"Thymine 2H4",NA,NA,NA,NA,NA,NA,NA
"Uracil, 15N2, 2H2","HILIC",-1,NA,NA,NA,NA,NA,NA,"Internal Standard","Uracil, 15N2-D2","Uracil, 15N2-D2","C4D2H2N(15)2O2",3.73,115.0261,"[M-H]",NA,NA,"HILICNeg",NA,8,NA,190514,NA,"Uracil 15N2 D2",NA,NA,NA,NA,NA,NA,NA
