"Compound_Name","mz","RT_minute","z","Column","HILIC_Mix","Concentration_uM","Ionization_Form","Liquid_Fraction","Compound_Type","Empirical_Formula","PubChem_Formula","PubChem_Code","KEGG_Code","KEGG_Names","ChEBI_Code","IUPAC_Code","InChI_Key_Code","Canon_SMILES_Code","Classyfire","Compound_Name_Original","Compound_Name_Figure","Compound_Name_SQL","Date_Added","Priority"
"beta-Carotene",536.4382,26.51,1,"LipidC18",NA,0.25,"[M]","Org","Antioxidant pigment","C40H56","C40H56",5280489,"cpd:C02094","beta-Carotene; all-trans-beta-Carotene","ChEBI:17579","1,3,3-trimethyl-2-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene","OENHQHLEOONYIE-JLTXGRSLSA-N","CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Tetraterpenoids; level 5: Carotenoids; level 6: Carotenes; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Tetraterpenoids; level 5: Carotenoids; level 6: Carotenes","Carotene","b-Carotene","beta Carotene",160401,TRUE
"Calciferol",397.34704,10.2,1,"LipidC18",NA,1,"[M+H]","Org","Vitamin (fat soluble)","C28H44O",NA,NA,"cpd:C05441","Vitamin D2; Ergocalciferol","ChEBI:28934",NA,NA,NA,NA,"Vitamin D2","Vit D2","Calciferol",160401,TRUE
"Cholesterol",387.36269,NA,1,"LipidC18",NA,NA,"[M+H]","Org","Sterol","C27H46O","C27H46O",5997,"cpd:C00187","Cholesterol; Cholest-5-en-3beta-ol","ChEBI:16113","(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","HVYWMOMLDIMFJA-DPAQBDIFSA-N","CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Steroids and steroid derivatives; subclass: Cholestane steroids; level 5: Cholesterols and derivatives; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Steroids and steroid derivatives; subclass: Cholestane steroids; level 5: Cholesterols and derivatives","Cholesterol","Cholesterol","Cholesterol",NA,TRUE
"Coenzyme Q10",863.691735,27.1,1,"LipidC18",NA,0.25,"[M+H]","Org","Quinone","C59H90O4","C59H90O4",5281915,"cpd:C11378","Ubiquinone-10; Ubidecarenone; Coenzyme Q10","ChEBI:46245","2-[(2E,6E,10E,14E,18E,22E,26E,30E,34E)-3,7,11,15,19,23,27,31,35,39-decamethyltetraconta-2,6,10,14,18,22,26,30,34,38-decaenyl]-5,6-dimethoxy-3-methylcyclohexa-2,5-diene-1,4-dione","ACTIUHUUMQJHFO-UPTCCGCDSA-N","CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Prenylquinones; level 6: Ubiquinones; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Prenylquinones; level 6: Ubiquinones","Coenzyme Q10","Coenzyme Q10","Coenzyme Q10",160401,TRUE
"Docosahexaenoic acid",327.2324,5.8,-1,"LipidC18",NA,5,"[M-H]","Org","Fatty Acid","C22H32O2","C22H32O2",445580,"cpd:C06429","(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid; 4,7,10,13,16,19-Docosahexaenoic acid; Docosahexaenoic acid; Docosahexaenoate; 4Z,7Z,10Z,13Z,16Z,19Z-Docosahexaenoic acid; (4Z,7Z,10Z,13Z,16Z,19Z)-Docosa-4,7,10,13,16,19-hexaenoic acid","ChEBI:28125","(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoic acid","MBMBGCFOFBJSGT-KUBAVDMBSA-N","CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Very long-chain fatty acids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Very long-chain fatty acids","DHA","DHA","Docosahexaenoic acid",160401,TRUE
"Docosahexaenoic acid, 2H5",332.2643,5.8,-1,"LipidC18",NA,2,"[M-H]","Org","Internal Standard","C22H28D5O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Docosahexaenoic Acid, D5","Docosahexaenoic acid, 2H5","Docosahexaenoic acid 2H5",170301,TRUE
"Eicosapentaenoic acid",301.2168,4.7,-1,"LipidC18",NA,5,"[M-H]","Org","Fatty Acid","C20H30O2","C20H30O2",446284,"cpd:C06428","(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate; (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoate; 5Z,8Z,11Z,14Z,17Z-Eicosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Icosa-5,8,11,14,17-pentaenoic acid","ChEBI:28364","(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoic acid","JAZBEHYOTPTENJ-JLNKQSITSA-N","CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Long-chain fatty acids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Long-chain fatty acids","EPA","EPA","Eicosapentaenoic acid",160401,TRUE
"Eicosapentaenoic acid, 2H5",306.2484,4.7,-1,"LipidC18",NA,5,"[M-H]","Org","Internal Standard","C20H26D5O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eicosapentaenoic Acid, D5","Eicosapentaenoic acid, 2H5","Eicosapentaenoic acid 2H5",170301,TRUE
"Ergosterol",379.336475,10.4,1,"LipidC18",NA,0.25,"[M-OH]","Org","Sterol","C28H44O","C28H44O",444679,"cpd:C01694","Ergosterol; Provitamin D2","ChEBI:16933","(3S,9S,10R,13R,14R,17R)-17-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol","DNVPQKQSNYMLRS-APGDWVJJSA-N","CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Steroids and steroid derivatives; subclass: Ergostane steroids; level 5: Ergosterols and derivatives; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Steroids and steroid derivatives; subclass: Ergostane steroids; level 5: Ergosterols and derivatives","Ergosterol","Ergosterol","Ergosterol",160401,TRUE
"Menaquinone",445.310655,10.7,1,"LipidC18",NA,0.25,"[M+H]","Org","Quinone","C31H40O2",NA,NA,"cpd:C00828","Menaquinone; Vitamin K2","ChEBI:16374",NA,NA,NA,NA,"Vitamin K2","Vit K2","Menaquinone",160401,TRUE
"Phytonadione",451.357605,16.3,1,"LipidC18",NA,0.25,"[M+H]","Org","Quinone","C31H46O2","C31H46O2",5284607,"cpd:C02059","Phylloquinone; Vitamin K1; Phytonadione; 2-Methyl-3-phytyl-1,4-naphthoquinone","ChEBI:18067","2-methyl-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enyl]naphthalene-1,4-dione","MBWXNTAXLNYFJB-NKFFZRIASA-N","CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Vitamin K compounds; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Vitamin K compounds","Vitamin K1","Vit K1","Phytonadione",160401,TRUE
"Retinal",285.22184,5.49,1,"LipidC18",NA,0.25,"[M+H]","Org","Vitamin rhodopsin","C20H28O","C20H28O",638015,"cpd:C00376","Retinal; Vitamin A aldehyde; Retinene; all-trans-Retinal; all-trans-Vitamin A aldehyde; all-trans-Retinene","ChEBI:17898","(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal","NCYCYZXNIZJOKI-OVSJKPMPSA-N","CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Retinoids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Retinoids","trans Retinal","Retinal","Retinal",160401,TRUE
"Retinoic acid",301.216755,5.19,1,"LipidC18",NA,0.25,"[M+H]","Org","Vitamin rhodopsin","C20H28O2",NA,NA,"cpd:C00777","Retinoate; Retinoic acid; Vitamin A acid; all-trans-Retinoate; Acide retinoique (French) (DSL); Tretinoine (French) (EINECS); 3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoic acid (ECL); (all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid; beta-Retinoic acid; AGN 100335; all-(E)-Retinoic acid; all-trans-beta-Retinoic acid; all-trans-Retinoic acid; all-trans-Tretinoin; all-trans-Vitamin A acid; Ro 1-5488; trans-Retinoic acid; Tretin M; all-trans-Vitamin A1 acid","ChEBI:15367","(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid","SHGAZHPCJJPHSC-YCNIQYBTSA-N","CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Retinoids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Retinoids","Retinoic Acid","Retinoic acid","Retinoic acid",160401,TRUE
"Squalene",411.399075,19.6,1,"LipidC18",NA,0.25,"[M+H]","Org","Sterol precursor","C30H50","C30H50",638072,"cpd:C00751","Squalene; Spinacene; Supraene","ChEBI:15440","(6E,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene","YYGNTYWPHWGJRM-AAJYLUCBSA-N","CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Triterpenoids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Triterpenoids","Squalene","Squalene","Squalene",160401,TRUE
"Glycerol tripalmitate, 13C6",851.7198,31.3,1,"LipidC18",NA,0.5,"[M+K]","Org","Internal Standard","C(13)6C45H98O6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glycerol tripalmitate, 13C6","Glycerol tripalmitate, 13C6","Glycerol tripalmitate 13C6",190130,TRUE
"Glycerol trioleate, 13C15",938.7973,30.1,1,"LipidC18",NA,0.5,"[M+K]","Org","Internal Standard","C(13)15C42H104O6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glycerol trioleate, 13C15","Glycerol trioleate, 13C15","Glycerol trioleate 13C15",190130,TRUE
"Palmitoyl-L-carnitine, 13C16",416.395,3.2,1,"LipidC18",NA,0.05,"[M]","Org","Internal Standard","C(13)16C7H46NO4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palmitoyl-L-carnitine, 13C16","Palmitoyl-L-carnitine, 13C16","Palmitoylcarnitine 13C16",190130,TRUE
"Triacylglycerol 12:0-12:0-12:0",677.512248,26.2,1,"LipidC18",NA,0.5,"[M+K]","Org","TAG","C39H74O6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glyceryl tridodecanoate","TAG 12:0-12:0-12:0","TAG 12s0_12s0_12s0",190130,TRUE
"Triacylglycerol 14:0-14:0-14:0",761.606148,29.9,1,"LipidC18",NA,0.5,"[M+K]","Org","TAG","C45H86O6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glyceryl trimyristate","TAG 14:0-14:0-14:0","TAG 14s0_14s0_14s0",190130,TRUE
"Diacylglycerol 18:1-18:1",659.501683,24.5,1,"LipidC18",NA,0.5,"[M+K]","Org","DAG","C39H72O5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,3-Diolein","DAG 18:1-18:1","DAG 18s1_18s1",190130,TRUE
"MonoacylglycerolÂ 18:1",395.256368,6.6,1,"LipidC18",NA,50,"[M+K]","Org","MAG","C21H40O4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monoolein","MAG 18:1","MAG 18s1",190130,TRUE
"Palmitoyl-L-carnitine",400.342684,3.2,1,"LipidC18",NA,0.08,"[M]","Org","ACar","C23H45NO4",NA,NA,"cpd:C02990","L-Palmitoylcarnitine","ChEBI:17490",NA,NA,NA,NA,"Palmitoyl-L-carnitine","ACar 16:0","Palmitoylcarnitine",190130,TRUE
"Phosphatidylcholine diacylglycerol 16:0-18:2",758.569982,19.1,1,"LipidC18",NA,0.5,"[M+H]","Org","PC","C42H80NO8P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-Phosphatidylcholine","PC DAG 16:0-18:2","PC DAG 16s0_18s2",190130,TRUE
"Phosphatidylcholine diacylglycerol 16:0-18:2",802.559812,19.1,-1,"LipidC18",NA,0.5,"[M+FA-H]","Org","PC","C42H80NO8P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-Phosphatidylcholine","PC DAG 16:0-18:2","PC DAG 16s0_18s2",190130,FALSE
"Phosphatidylserine diacylglycerol 18:0-18:1",790.559812,20.7,1,"LipidC18",NA,7.5,"[M+H]","Org","PS","C42H80NO10P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2-Diacyl-sn-glycero-3-phospho-L-serine","PS DAG 18:0-18:1","PS DAG 18s0_18s1",190130,TRUE
"Phosphatidylserine diacylglycerol 18:0-18:1",788.544161,20.7,-1,"LipidC18",NA,7.5,"[M-H]","Org","PS","C42H80NO10P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2-Diacyl-sn-glycero-3-phospho-L-serine","PS DAG 18:0-18:1","PS DAG 18s0_18s1",190130,FALSE
"Lysophosphatidylcholine monoacylglycerol 18:1",522.355967,3.2,1,"LipidC18",NA,0.5,"[M+H]","Org","LPC","C26H52NO7P",NA,NA,"cpd:C03916","1-Oleoylglycerophosphocholine; 1-Oleoyl-sn-glycero-3-phosphocholine","ChEBI:28610",NA,NA,NA,NA,"1-Oleoyl-sn-glycero-3-phosphocholine","LPC MAG 18:1","LPC MAG 18s1",190130,TRUE
"Lysophosphatidylcholine monoacylglycerol 18:1",566.345797,3.2,-1,"LipidC18",NA,0.5,"[M+FA-H]","Org","LPC","C26H52NO7P",NA,NA,"cpd:C03916","1-Oleoylglycerophosphocholine; 1-Oleoyl-sn-glycero-3-phosphocholine","ChEBI:28610",NA,NA,NA,NA,"1-Oleoyl-sn-glycero-3-phosphocholine","LPC MAG 18:1","LPC MAG 18s1",190130,FALSE
"Lysophosphatidylethanolamine monoacylglycerol 16:0",454.293367,2.8,1,"LipidC18",NA,10,"[M+H]","Org","LPE","C21H44NO7P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-sn-Lysophosphatidylethanolamine","LPE MAG 16:0","LPE MAG 16s0",190130,TRUE
"Lysophosphatidylethanolamine monoacylglycerol 16:0",452.277717,2.8,-1,"LipidC18",NA,10,"[M-H]","Org","LPE","C21H44NO7P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-sn-Lysophosphatidylethanolamine","LPE MAG 16:0","LPE MAG 16s0",190130,FALSE
"Monogalactosyldiacylglycerol 16:3-18:3",785.460608,14.1,1,"LipidC18",NA,1.5,"[M+K]","Org","MGDG","C43H70O10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monogalactosyldiacylglycerol","MGDG 16:3-18:3","MGDG 16s3_18s3",190130,FALSE
"Monogalactosyldiacylglycerol 16:3-18:3",791.494555,14.1,-1,"LipidC18",NA,1.5,"[M+FA-H]","Org","MGDG","C43H70O10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monogalactosyldiacylglycerol","MGDG 16:3-18:3","MGDG 16s3_18s3",190130,TRUE
"Digalactosyldiacylglycerol 18:3-18:3",954.615399,14.3,1,"LipidC18",NA,5,"[M+NH4]","Org","DGDG","C51H84O15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Digalactosyldiacylglycerol","DGDG 18:3-18:3","DGDG 18s3_18s3",190130,TRUE
"Digalactosyldiacylglycerol 18:3-18:3",981.57868,14.3,-1,"LipidC18",NA,5,"[M+FA-H]","Org","DGDG","C51H84O15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Digalactosyldiacylglycerol","DGDG 18:3-18:3","DGDG 18s3_18s3",190130,FALSE
"Sulfoquinovosyldiacylglycerol 16:0-18:3",834.540126,15.1,1,"LipidC18",NA,3,"[M+NH4]","Org","SQDG","C43H76O12S",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sulfoquinovosyldiacylglycerol","SQDG 16:0-18:3","SQDG 16s0_18s3",190130,TRUE
"Sulfoquinovosyldiacylglycerol 16:0-18:3",815.497927,15.1,-1,"LipidC18",NA,3,"[M-H]","Org","SQDG","C43H76O12S",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sulfoquinovosyldiacylglycerol","SQDG 16:0-18:3","SQDG 16s0_18s3",190130,FALSE
"1,2-Diacylglyceryl-3-O-4'-(N,N,N-trimethyl)-homoserineÂ 16:0-16:0",712.609128,21.4,1,"LipidC18",NA,0.05,"[M+H]","Org","DGTS","C42H81NO7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2-dipalmitoyl-sn-glycero-3-O-4'-(N,N,N-trimethyl)-homoserine","DGTS 16:0-16:0","DGTS 16s0_16s0",190130,TRUE
"1,2-Diacylglyceryl-3-O-4'-(N,N,N-trimethyl)-homoserineÂ 16:0-16:0",756.598959,21.4,-1,"LipidC18",NA,0.05,"[M+FA-H]","Org","DGTS","C42H81NO7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2-dipalmitoyl-sn-glycero-3-O-4'-(N,N,N-trimethyl)-homoserine","DGTS 16:0-16:0","DGTS 16s0_16s0",190130,FALSE
"Diacylglycerophosphoglycerol 16:0-18:2",764.544162,17.5,1,"LipidC18",NA,20,"[M+NH4]","Org","PG","C40H75O10P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-Phosphatidylglycerol","PG 16:0-18:2","PG 16s0_18s2",190130,TRUE
"Diacylglycerophosphoglycerol 16:0-18:2",745.501962,17.5,-1,"LipidC18",NA,20,"[M-H]","Org","PG","C40H75O10P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-Phosphatidylglycerol","PG 16:0-18:2","PG 16s0_18s2",190130,FALSE
"Diether phosphatidylcholine diacylglycerol 16:0-16:0",706.611452,22.6,1,"LipidC18",NA,0.5,"[M+H]","Org","EtherPC","C40H84NO6P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2-Di-O-hexadecyl-sn-glycero-3-phosphocholine","PC 16:0e-16:0e","PC 16s0e_16s0e",190130,TRUE
"Diether phosphatidylcholine diacylglycerol 16:0-16:0",750.601282,22.6,-1,"LipidC18",NA,0.5,"[M+FA-H]","Org","EtherPC","C40H84NO6P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2-Di-O-hexadecyl-sn-glycero-3-phosphocholine","PC 16:0e-16:0e","PC 16s0e_16s0e",190130,FALSE
"Diether phosphatidylethanolamine diacylglycerol 16:0-16:0",664.564502,23.2,1,"LipidC18",NA,5,"[M+H]","Org","EtherPE","C37H78NO6P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2-Dihexadecyl-sn-glycero-3-phosphoethanolamine","PE 16:0e-16:0e","PE 16s0e_16s0e",190130,TRUE
"Diether phosphatidylethanolamine diacylglycerol 16:0-16:0",662.548852,23.2,-1,"LipidC18",NA,5,"[M-H]","Org","EtherPE","C37H78NO6P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2-Dihexadecyl-sn-glycero-3-phosphoethanolamine","PE 16:0e-16:0e","PE 16s0e_16s0e",190130,FALSE
"Ceramide d18:1-24:0",688.601002,27.4,1,"LipidC18",NA,0.75,"[M+K]","Org","Cer-NS","C42H83NO3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N-lignoceroyl-D-erythro-sphingosine","Cer-NS d18:1-24:0","CerNS d18s1_24s0",190130,FALSE
"Ceramide d18:1-24:0",694.634949,27.4,-1,"LipidC18",NA,0.75,"[M+FA-H]","Org","Cer-NS","C42H83NO3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N-lignoceroyl-D-erythro-sphingosine","Cer-NS d18:1-24:0","CerNS d18s1_24s0",190130,TRUE
"Chlorophyll a",893.543141,22.8,1,"LipidC18",NA,0.5,"[M+H]","Org","Pigment","C55H72MgN4O5","C55H72MgN4O5",12085802,"cpd:C05306","Chlorophyll a","ChEBI:18230","magnesium;methyl (3R,21S,22S)-16-ethenyl-11-ethyl-12,17,21,26-tetramethyl-4-oxo-22-[3-oxo-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-23,25-diaza-7,24-diazanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1,5,8(26),9,11,13(25),14,16,18,20(23)-decaene-3-carboxylate","ATNHDLDRLWWWCB-AENOIHSZSA-M","CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5C(C(C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C(C4=O)C(=O)OC)C)C.[Mg+2]","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Tetrapyrroles and derivatives; subclass: Chlorins","Chlorophyll a","Chlorophyll a","Chlorophyll a",190130,TRUE
"O-Succinylhomoserine",220.081564,9.57,1,"HILIC","Mix1",5,"[M+H]","Aq","New7","C8H13NO6",NA,NA,"cpd:C01118","O-Succinyl-L-homoserine; O4-Succinyl-L-homoserine; O-Succinylhomoserine","ChEBI:16160",NA,NA,NA,NA,"O-Succinylhomoserine","Succinyl-L-homoserine","Succinylhomoserine",210415,TRUE
"O-Succinylhomoserine",218.067011,9.57,-1,"HILIC","Mix1",5,"[M-H]","Aq","New7","C8H13NO6",NA,NA,"cpd:C01118","O-Succinyl-L-homoserine; O4-Succinyl-L-homoserine; O-Succinylhomoserine","ChEBI:16160",NA,NA,NA,NA,"O-Succinylhomoserine","Succinyl-L-homoserine","Succinylhomoserine",210415,FALSE
"Taurocyamine",168.043738,12.02,1,"HILIC","Mix1",5,"[M+H]","Aq","Sulfur","C3H9N3O3S","C3H9N3O3S",68340,"cpd:C01959","Taurocyamine","ChEBI:17228","2-(diaminomethylideneamino)ethanesulfonic acid","JKLRIMRKZBSSED-UHFFFAOYSA-N","C(CS(=O)(=O)O)N=C(N)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfonic acids and derivatives; subclass: Organosulfonic acids and derivatives; level 5: Organosulfonic acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfonic acids and derivatives; subclass: Organosulfonic acids and derivatives; level 5: Organosulfonic acids","Taurocyamine","Taurocyamine","Taurocyamine",210415,TRUE
"Taurocyamine",166.029185,12.02,-1,"HILIC","Mix1",5,"[M-H]","Aq","Sulfur","C3H9N3O3S","C3H9N3O3S",68340,"cpd:C01959","Taurocyamine","ChEBI:17228","2-(diaminomethylideneamino)ethanesulfonic acid","JKLRIMRKZBSSED-UHFFFAOYSA-N","C(CS(=O)(=O)O)N=C(N)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfonic acids and derivatives; subclass: Organosulfonic acids and derivatives; level 5: Organosulfonic acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfonic acids and derivatives; subclass: Organosulfonic acids and derivatives; level 5: Organosulfonic acids","Taurocyamine","Taurocyamine","Taurocyamine",210415,FALSE
"Urea",61.040188,6.01,1,"HILIC","Mix1",30,"[M+H]","Aq","Urea cycle","CH4N2O","CH4N2O",1176,"cpd:C00086","Urea; Carbamide","ChEBI:16199","urea","XSQUKJJJFZCRTK-UHFFFAOYSA-N","C(=O)(N)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic carbonic acids and derivatives; subclass: Ureas","Urea","Urea","Urea",210415,TRUE
"Allantoin",157.036165,9.48,-1,"HILIC","Mix1",5,"[M-H]","Aq","New7","C4H6N4O3","C4H6N4O3",204,"cpd:C01551","Allantoin; 5-Ureidohydantoin; Glyoxyldiureide","ChEBI:15676","(2,5-dioxoimidazolidin-4-yl)urea","POJWUDADGALRAB-UHFFFAOYSA-N","C1(C(=O)NC(=O)N1)NC(=O)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Azoles; subclass: Imidazoles","Allantoin","Allantoin","Allantoin",210415,TRUE
"Phosphocholine",184.073321,12.26,1,"HILIC","Mix1",5,"[M]","Aq","Betaine","C5H15NO4P","C5H15NO4P+",1014,"cpd:C00588","Choline phosphate; Phosphorylcholine; Phosphocholine; O-Phosphocholine","ChEBI:18132","trimethyl(2-phosphonooxyethyl)azanium","YHHSONZFOIEMCP-UHFFFAOYSA-O","C[N+](C)(C)CCOP(=O)(O)O","kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Cholines; level 6: Phosphocholines","Phosphocholine","Phosphocholine","Phosphocholine",210415,TRUE
"Choline sulfate",184.063805,7.01,1,"HILIC","Mix1",5,"[M+H]","Aq","Betaine","C5H13NO4S","C5H13NO4S",485,"cpd:C00919","Choline sulfate","ChEBI:16822","2-(trimethylazaniumyl)ethyl sulfate","WXCQAWGXWVRCGP-UHFFFAOYSA-N","C[N+](C)(C)CCOS(=O)(=O)[O-]","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfuric acids and derivatives; subclass: Sulfuric acid esters; level 5: Sulfuric acid monoesters; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfuric acids and derivatives; subclass: Sulfuric acid esters; level 5: Sulfuric acid monoesters","Choline sulfate","Choline sulfate","Choline sulfate",210415,TRUE
